Date (days since 1/1/2021),Primary Type,Primary Type Code,Location Description,Location Description Code,Arrest,Latitude,Longitude
3.48634250852752,NARCOTICS,17,ALLEY,15,1,41.897172335,-87.750759404
6.98727803936493,WEAPONS VIOLATION,30,STREET,112,1,41.786083813,-87.660739789
3.377242294554449,DECEPTIVE PRACTICE,8,APARTMENT,17,0,41.803734907,-87.724685448
5.652363955513464,NARCOTICS,17,STREET,112,1,41.903178122,-87.718907706
5.785090967464616,ASSAULT,1,RESIDENCE,99,0,41.837446482,-87.632863358
0.0,WEAPONS VIOLATION,30,ALLEY,15,0,41.820957498,-87.601385842
4.639886172977342,CRIMINAL DAMAGE,5,APARTMENT,17,0,41.750169618,-87.662221556
6.789229880121237,ROBBERY,26,SIDEWALK,109,0,41.970663253,-87.756308534
4.551633133578456,BURGLARY,3,CHA APARTMENT,33,0,41.878918665,-87.701147222
3.001993150724293,ASSAULT,1,STREET,112,0,41.768402925,-87.643255778
4.8372394263493,THEFT,29,RESIDENCE - PORCH / HALLWAY,101,0,41.699183265,-87.625680106
5.649584332192616,OTHER OFFENSE,22,SCHOOL - PUBLIC GROUNDS,108,0,41.816358925,-87.606702419
2.7400136558484824,THEFT,29,DEPARTMENT STORE,58,0,41.742710224,-87.634088181
6.622452482863389,NARCOTICS,17,ALLEY,15,1,41.856623051,-87.661285949
8.710644477779063,THEFT,29,SMALL RETAIL STORE,110,0,41.893964478,-87.636047576
3.418936643868911,OTHER OFFENSE,22,RESIDENCE,99,0,41.707538832,-87.566919294
5.378571061648613,DECEPTIVE PRACTICE,8,APARTMENT,17,0,41.763625742,-87.560182233
2.2098005136664733,CRIMINAL DAMAGE,5,APARTMENT,17,1,41.871572151,-87.733871212
3.7316442637273743,THEFT,29,STREET,112,0,41.894061346,-87.628987233
8.01504374999963,OTHER OFFENSE,22,RESIDENCE,99,0,41.73066937,-87.587999287
8.415309503385245,OTHER OFFENSE,22,APARTMENT,17,0,41.772731693,-87.583846578
8.422258561604322,THEFT,29,ATHLETIC CLUB,19,0,41.87227988,-87.629365941
5.503654109591999,ASSAULT,1,COMMERCIAL / BUSINESS OFFICE,44,0,41.901150484,-87.663045256
3.658679152427066,OTHER OFFENSE,22,PARKING LOT / GARAGE (NON RESIDENTIAL),94,0,41.713031101,-87.681825499
7.846876541081359,OTHER OFFENSE,22,STREET,112,1,41.662827232,-87.636614639
2.9811459760670624,ASSAULT,1,RESIDENCE,99,0,41.745962539,-87.73052653
1.7998060787409327,MOTOR VEHICLE THEFT,16,STREET,112,0,41.919345195,-87.636388619
8.910082448600134,INTERFERENCE WITH PUBLIC OFFICER,12,STREET,112,1,41.785518661,-87.586579679
8.658526541135986,DECEPTIVE PRACTICE,8,RESTAURANT,103,0,41.886174649,-87.639848795
0.10840530818438197,WEAPONS VIOLATION,30,STREET,112,1,41.770834741,-87.673685601
2.737928938316322,OTHER OFFENSE,22,RESIDENCE,99,0,41.733813677,-87.611099449
2.5225081335249366,OTHER OFFENSE,22,APARTMENT,17,0,41.754876293,-87.608495811
2.7546066780753256,BATTERY,2,STREET,112,0,41.895524097,-87.709681095
0.7713454623175425,BATTERY,2,APARTMENT,17,0,41.69572968,-87.612239695
5.699617551386579,CRIMINAL DAMAGE,5,SMALL RETAIL STORE,110,0,41.706567436,-87.670175387
3.523172517155065,BATTERY,2,APARTMENT,17,0,41.749397976,-87.571072
2.6267440068110908,CRIMINAL DAMAGE,5,STREET,112,0,41.743219959,-87.601367997
7.310409246552009,CRIMINAL DAMAGE,5,SIDEWALK,109,0,41.765120483,-87.583649257
8.65713672947556,NARCOTICS,17,SIDEWALK,109,1,41.880401861,-87.752850634
7.483440796240243,THEFT,29,RESIDENCE - PORCH / HALLWAY,101,0,41.839804007,-87.627964177
6.745450813357661,ROBBERY,26,ALLEY,15,0,42.021627279,-87.670716961
6.420929794510157,THEFT,29,APARTMENT,17,0,41.916190641,-87.726528043
4.919238313317798,BATTERY,2,RESIDENCE,99,0,41.733506215,-87.638679745
3.839354666123067,ROBBERY,26,ALLEY,15,0,41.87277057,-87.63062361
2.664963827016014,ASSAULT,1,RESIDENCE - PORCH / HALLWAY,101,0,41.970328923,-87.667663549
6.672485702057353,BATTERY,2,SIDEWALK,109,0,41.80995085,-87.703333379
8.978878125002215,CRIMINAL DAMAGE,5,APARTMENT,17,0,41.782365736,-87.593831938
3.5766802653755208,BATTERY,2,APARTMENT,17,0,41.881150589,-87.758763376
5.003321917818458,CRIMINAL DAMAGE,5,STREET,112,0,41.77487752,-87.671374872
8.71759353599814,OTHER OFFENSE,22,APARTMENT,17,0,41.686236291,-87.639763246
8.745389768874448,SEX OFFENSE,27,COMMERCIAL / BUSINESS OFFICE,44,0,41.895604994,-87.633252961
