Suspensions_Per_100_Students_Year_1_Pct,Student_Attendance_Year_1_Pct,One_Year_Dropout_Rate_Year_1_Pct,Freshmen_On_Track_CPS_Pct_Year_1,Graduation_4_Year_CPS_Pct_Year_1,College_Enrollment_CPS_Pct_Year_1,Chronic_Truancy_Pct,Latitude,Longitude
2.8,92.5,,,,,13.3,41.798002,-87.602481
0.9,95.0,,,,,7.3,41.793479,-87.71137
0.3,97.8,,,,,1.9,41.849958,-87.633806
0.9,93.7,,,,,6.8,41.856864,-87.731672
1.2,95.4,,,,,8.5,41.707558,-87.60466
0.2,94.9,,,,,8.2,41.950078,-87.716832
,93.4,,,,,9.9,41.794043,-87.670243
0.0,95.5,,,,,5.0,41.794048,-87.690261
0.0,97.0,,,,,1.2,41.73455,-87.619214
,50.8,40.3,,,67.2,84.9,41.883047,-87.627734
21.9,83.4,5.4,88.5,79.7,67.2,47.3,41.939797,-87.754167
1.3,95.3,,,,,2.3,41.929989,-87.719224
1.4,94.6,,,,,12.6,41.71547,-87.532971
1.8,93.2,,,,,12.9,41.906791,-87.767143
0.0,95.2,,,,,7.3,41.810333,-87.668772
2.1,92.4,,,,,14.2,41.89181,-87.747936
,94.0,0.0,88.5,79.7,,6.7,41.795201,-87.683963
24.6,81.0,2.4,88.5,79.7,67.2,32.4,41.88621,-87.715423
7.1,90.8,1.3,88.5,79.7,67.2,20.1,41.893548,-87.659405
5.1,92.3,,,,,19.7,42.021091,-87.671939
0.0,95.0,,,,,2.8,41.988153,-87.802979
0.6,95.9,,,,,2.3,41.95822,-87.702151
0.0,95.1,,,,,5.8,41.940026,-87.724783
5.3,91.6,1.3,88.5,79.7,67.2,12.4,41.889977,-87.707332
,,,,,,,41.775124,-87.669089
,,,,,,11.8,41.760034,-87.583328
,93.2,2.3,88.5,79.7,67.2,7.7,41.831118,-87.613629
4.1,94.0,,,,,13.6,41.768602,-87.572806
14.7,85.8,0.5,88.5,79.7,67.2,35.9,41.835282,-87.735283
6.4,95.1,,,,,6.2,41.693026,-87.680897
13.0,88.6,2.5,88.5,79.7,67.2,24.9,41.911674,-87.735238
0.5,95.4,,,,,3.2,41.924525,-87.644497
0.9,94.9,,,,,3.5,41.976352,-87.796235
0.7,95.7,,,,,7.7,41.906826,-87.75455
,72.2,35.3,,,67.2,72.8,41.894976,-87.760221
5.4,89.7,,,,,13.3,41.738407,-87.620933
,96.6,,,,,0.8,41.79993,-87.693862
,93.3,,,,,6.5,41.88741,-87.701397
0.0,93.2,,,,,10.6,41.790591,-87.671887
0.8,94.3,,,,,16.5,41.852719,-87.696243
0.0,94.1,,,,,7.1,41.716588,-87.552483
45.1,79.4,2.2,88.5,79.7,67.2,42.7,41.902626,-87.686906
26.0,78.6,8.1,88.5,79.7,67.2,46.1,41.802881,-87.662278
38.5,76.6,8.0,88.5,79.7,67.2,51.7,41.753748,-87.601727
0.0,95.7,,,,,2.1,41.991169,-87.745951
10.7,85.1,3.4,88.5,79.7,67.2,40.7,41.852667,-87.663732
,87.4,4.8,88.5,79.7,67.2,27.7,41.869328,-87.711654
19.4,93.7,,,,,10.3,41.760614,-87.675966
,95.3,1.0,88.5,79.7,67.2,9.9,41.770992,-87.693075
0.0,86.9,,,,,10.9,41.801659,-87.685607
0.3,95.8,,,,,2.5,41.955553,-87.683765
1.1,94.1,,,,,7.6,41.848101,-87.680745
0.7,94.9,,,,,4.2,41.983672,-87.779123
0.3,95.3,,,,,4.1,41.818003,-87.611784
21.9,87.9,0.0,88.5,79.7,67.2,45.9,41.689951,-87.637572
12.8,93.4,,,,,11.1,41.813304,-87.643344
2.3,95.0,,,,,5.7,41.829356,-87.667817
,96.1,,,,,4.7,41.801042,-87.708797
0.0,96.3,,,,,3.1,41.860259,-87.692526
1.8,92.0,,,,,19.3,41.725332,-87.623719
,93.6,,,,,9.2,41.728534,-87.596257
,87.0,3.8,88.5,79.7,,30.1,41.935726,-87.718204
,93.9,2.8,88.5,79.7,67.2,8.0,41.77813,-87.598114
0.9,94.8,,,,,5.6,41.738425,-87.668099
1.9,96.0,,,,,3.9,41.8528,-87.629308
4.9,85.0,3.9,88.5,79.7,67.2,35.0,42.002688,-87.669192
5.2,94.9,,,,,6.2,41.792348,-87.594752
0.4,95.0,,,,,3.2,41.907053,-87.677761
0.5,71.2,35.7,,79.7,67.2,,41.763896,-87.649124
,64.3,34.3,,,67.2,78.5,41.845957,-87.685903
0.8,95.1,,,,,8.4,41.799766,-87.650221
0.2,94.2,,,,,5.8,41.95281,-87.65098
26.8,92.2,0.6,88.5,,,24.9,41.801204,-87.612239
0.0,93.6,,,,,5.1,41.908886,-87.665093
4.8,94.8,,,,,10.2,41.906155,-87.729955
1.3,95.2,,,,,5.2,41.918486,-87.683801
,92.7,2.0,88.5,79.7,67.2,14.2,41.734442,-87.650987
7.1,90.5,2.2,88.5,79.7,67.2,19.1,41.834397,-87.735292
,93.1,2.5,88.5,79.7,67.2,16.0,41.764083,-87.601974
2.9,58.2,24.5,,,67.2,,41.864365,-87.668722
,71.9,,,,,,41.883568,-87.669477
,94.7,,,,,7.6,41.906771,-87.694364
5.3,95.9,,,,,2.4,41.725609,-87.630164
0.0,94.6,,,,,8.5,41.952042,-87.706443
0.0,95.5,,,,,4.5,41.856031,-87.667227
,95.2,,,,,5.5,41.8257,-87.667724
,93.3,,,,,9.1,41.888259,-87.755281
4.0,93.3,,,,,11.6,41.821852,-87.700202
18.7,54.8,38.6,,79.7,67.2,,41.874673,-87.687842
,92.6,1.6,88.5,79.7,67.2,15.3,41.745961,-87.652045
1.7,95.2,,,,,5.8,41.919581,-87.73142
,90.2,5.2,88.5,79.7,67.2,21.6,41.734622,-87.556201
2.6,95.1,,,,,4.4,41.93397,-87.708041
,72.8,31.2,,,67.2,,41.735239,-87.70406
0.2,94.6,,,,,5.0,41.934931,-87.770127
0.8,96.1,,,,,2.0,41.940009,-87.702635
2.1,94.8,,,,,4.1,41.836527,-87.618338
