Population,Vaccine Series Completed - Percent Population,Vaccine Series Completed - Daily - Age 5+,Vaccine Series Completed - Daily - Age 12+,Vaccine Series Completed - Daily - Age 18+,Vaccine Series Completed - Daily - Age 65+,Vaccine Series Completed - Daily - Age 5+ - Percent Total Population,Vaccine Series Completed - Daily - Age 12+ - Percent Total Population,Vaccine Series Completed - Daily - Age 18+ - Percent Total Population,Vaccine Series Completed - Daily - Age 65+ - Percent Total Population,Latitude,Longitude
29060.0,0.651,17,17,15,2,0.0005849965588437716,0.0005849965588437716,0.0005161734342739161,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.652,10,10,7,1,0.00034411562284927734,0.00034411562284927734,0.00024088093599449416,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.652,9,9,9,1,0.0003097040605643496,0.0003097040605643496,0.0003097040605643496,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.652,15,15,12,1,0.0005161734342739161,0.0005161734342739161,0.00041293874741913283,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.653,23,23,22,2,0.0007914659325533379,0.0007914659325533379,0.0007570543702684102,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.654,15,15,15,0,0.0005161734342739161,0.0005161734342739161,0.0005161734342739161,0.0,41.867824,-87.623449
29060.0,0.654,17,17,15,2,0.0005849965588437716,0.0005849965588437716,0.0005161734342739161,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.655,13,13,12,0,0.0004473503097040606,0.0004473503097040606,0.00041293874741913283,0.0,41.867824,-87.623449
29060.0,0.655,8,8,8,2,0.0002752924982794219,0.0002752924982794219,0.0002752924982794219,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.656,19,19,18,1,0.0006538196834136269,0.0006538196834136269,0.0006194081211286992,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.657,25,25,24,2,0.0008602890571231934,0.0008602890571231934,0.0008258774948382657,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.657,13,13,12,0,0.0004473503097040606,0.0004473503097040606,0.00041293874741913283,0.0,41.867824,-87.623449
29060.0,0.657,15,15,14,1,0.0005161734342739161,0.0005161734342739161,0.0004817618719889883,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.658,17,17,15,1,0.0005849965588437716,0.0005849965588437716,0.0005161734342739161,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.659,14,14,13,0,0.0004817618719889883,0.0004817618719889883,0.0004473503097040606,0.0,41.867824,-87.623449
29060.0,0.659,2,2,2,0,6.882312456985548e-05,6.882312456985548e-05,6.882312456985548e-05,0.0,41.867824,-87.623449
